Survived,Sex_male,Sex_female,SibSp_0,SibSp_1,Parch_yes,Parch_no,Pclass_1,Pclass_2,Pclass_3,Embarked_S,Embarked_C,Embarked_Q,Age_less_18,Age_18_to_35,Age_36_to_60,Age_greater_60,Fare_less_10,Fare_10_to_50,Fare_greater_50,Has_Cabin
0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
